name,description,category,type,height,weight
seel,"Seel are vespertine Pokémon that are most active in the evening. Sometimes, one may see a Seel napping near the shoreline in the morning. When hunting, they dive underwater for extended periods of time. When they need to breathe, they surface and break through sea ice with their horns (and tusks if necessary). When Seel swim, they close their nostrils tightly to block out water. 
They are highly social Pokémon, living in large, raucous groups on ice floes in the middle of the sea. Seel may play-fight with each other on these floes, sparring with their tusks and horns as well as Water-type and sometimes Ice-type attacks. This activity is important in teaching young Seel how to defend themselves against enemies.
",Sea Lion Pokémon,water,3′07″,198.4
dewgong,"Like Seel, Dewgong prefer frigid waters. They can swim at a steady 8 knots, undeterred by the cooler temperatures around them. In fact, like their pre-evolutions, Dewgong become more active in colder waters. When resting, though they do still sometimes sleep on the ocean floor or shore like Seel, they now prefer to rest on ice floes. Recent studies show that they are in fact sunbathing while doing so, with the increased temperature aiding their digestion. There, their pristine white fur can camouflage them against predators.
Dewgong no longer use their tusks and horns to play-fight, since they stop growing at this stage. However, they are still useful for poking breathing holes into ice floes while swimming under them to resurface for air.
",Sea Lion Pokémon,"water,ice",5′07″,264.6
grimer,"It enters sewers and other areas with great ease due to its rubbery, semi-viscous body; for example, it can enter barred-off areas by slipping between the narrow bars. If one stick his/her hand in a Grimer, it will be very hard to get it out.
An Alolan Grimer is brought to the Alolan region to deal with the increase of garbage, as well as keeping the Trubbish and Garbodor populations in check. It has adapted into eating solid waste instead of liquid waste. Grimer has a huge obsession of garbage, eating huge amounts at a fast pace; eating garbage constantly has caused Grimer to form crystallized toxins in its mouth.  
",Sludge Pokémon,poison,2′11″,66.1
muk,"Muk's body contains highly noxious chemicals that can cause anyone nearby to faint. These chemicals also cause plant life to wither and die. Due to their ability to create pollution, Muk have been victims of extermination; some theorized that because of this, Muk would become extinct in the near future. To counteract this problem, people create sludge pools for Muks to live in.  
Alolan Muk, unlike its Kantonian counterpart, produces no foul-smelling odors. Instead, all of the odors are stored within Muk's body and are in turn hardened into crystal-like structures covering its mouth and body; the ""crystals"" will break apart and release dangerous toxins if removed. The reason why Alolan Muk gains its bright coloration is the large quantities of trash it consumes. Alolan Muk's body contains numerous types of poison. It also preys on Trubbish and Garbodor. Although usually friendly and laidback, an Alolan Muk would consume and destroy its trainer's household items if left unfed for a prolonged period of time.       
",Sludge Pokémon,poison,3′11″,66.1
shellder,"Shellder live on the sea floor, digging holes with their tongues and hiding in them with their tongues out to catch prey. Their tongues are never withdrawn, even when sleeping. Yanking on them will cause them to open up in shock. Shellder can move surprisingly quickly by flapping their shells. They can also lampoon prey with Icicle Spear.Shellder enjoy eating Slowpoke tail secretions and will bite these tails on sight. They then adopt a spiral shape and inject poison as the Slowpoke evolve into Slowbro. They are also oddly attracted to King’s Rocks. If a Slowpoke is wearing one, a Shellder may propel itself into the air to bite its head, triggering its evolution into a Slowking.
",Bivalve Pokémon,water,1′00″,8.8
cloyster,"To catch food, Cloyster wait on the ocean floor for prey swim by before shooting these spikes by using the move Spike Cannon. The harpooned prey then slowly float down to the waiting Cloyster. Like Shellder, Cloyster love Slowpoke tails, and may even venture onto land to seek them out. Cloyster are capable of swimming by swallowing water and jetting it out—this is the same process they use to shoot spikes. They can slam their shells shut with incredible force. Unlike Shellder, Cloyster can use clamping as a viable method of defense. Their insides are virtually untouchable while their shells are closed. Even the strongest forces cannot pry a clamped Cloyster apart; consequently, no one knows exactly what lies within their shells. It has been recently discovered that Cloyster that live in stronger currents have larger spikes, though the reason behind this is unknown. A concurrent study found that when a Cloyster shell is damaged, a new spike grows in place of the damaged area instead of recovering the flat surface.
",Bivalve Pokémon,"water,ice",4′11″,292.1
gastly,"They capture prey by enveloping them in their poisonous gas, which can seep through skin and cause fainting. They may also immobilize prey with the paralyzing move Lick. Despite their poor reputation, though, Gastly are not blatantly malicious and do not “haunt” beings with the intent of harming them. Instead, they are mischievous pranksters who enjoy startling others. They rarely utilize their poisonous gases unless threatened, but are known to put victims to sleep with Hypnosis. Their pranks can be annoying at times, so it should be noted that oscillating fans are very effective at warding Gastly away because the Pokémon steer clear of strong winds. When Gastly are near, it is said the air will smell faintly sweet.
",Gas Pokémon,"ghost,poison",4′03″,0.2
haunter,"They feed on the life force of living things, waiting in the darkness for unwary prey to wander by. Then, they sneak up on their victims and lick them. This causes uncontrollable shuddering in their prey, who are slowly drained of life until they die. Like Gastly, Haunter are also pranksters. They may trip unwary travelers or place ghostly hands on their shoulders to scare them. When a Haunter is around, those nearby feel paranoid, as if they are being watched (which they are). Haunter can also feed on fear. Though research has shown that such a diet is not very energy-efficient, it is believed that some Haunter have learned to feed on these feelings because they are “sustainable;” by not killing victims, some Haunter have successfully used cities as “farms” of sorts, scaring people as necessary and feeding on their fright. Many ghost “hot-spots” are in fact popular Haunter feeding grounds. Since Haunter detest light, well-lit towns are usually devoid of them. In some regions is said that Haunter come out on moonless nights looking for victims to lay curses on.
",Gas Pokémon,"ghost,poison",5′03″,0.2
gengar,"Gengar are typically mean-spirited and enjoy tormenting people, hurting them and overtaking them. They are most active during full moons, creeping out in the dead of night and disguising themselves as shadows; they may even enters sleeping homes to lurk in the dark. They will mimic every movement their targets make until they lower their guards. Then, they strike, draining their victims' life force as sustenance. 
Gengar are also said to attack those who are hopelessly lost and afraid in the mountains. Many Gengar have learned to feed on fear, simply following victims in the shadows and mimicking them almost, but not quite perfectly. This cultivates great paranoia in victims, which they can then feast on. Other tricks Gengar have been known to use include: laughing maniacally in the shadows, lighting their red eyes in the darkness, and chanting mysteriously in the distance. In some places, parents warn that Gengar appear at night in the bedrooms of naughty children. A famous folk tale tells of a Gengar that once used to be human, attacking people so it could have a friend.
In spite of their infamous insidiousness and cruelty, domesticated Gengar that are being kindly looked after by their trainers are much friendlier, and their smiles appear to be less creepy. 
",Shadow Pokémon,"ghost,poison",4′11″,89.3
onix,"Onix spend most of their time burrowing through the earth, twisting and turning their massive bodies as they dig. They constantly eat while burrowing, consuming boulders, dirt, and whatever else they come across. These tunnels often later become homes and pathways for other subterranean Pokémon, such as Diglett and Druddigon. 
",Rock Snake Pokémon,"rock,ground",28′10″,463
drowzee,"Drowzee consume dreams—especially those of young children and Pokémon, as they are said to be tastier than those of adults. For this reason, they can sometimes be found lurking outside daycares or kindergartens during naptime.There are many “signs” people believe Drowzee leave after eating dreams. For example, an itchy nose upon waking may mean one has sucked up a dream through your nostrils, or having a good dream but not remembering it means that it has been consumed. Drowzee (save for trained ones) rarely live near people, however, preferring to feed on the dreams of Pokémon in the grasslands that they call home. They get sick from bad dreams (which are said to taste sour), so they uses their noses to differentiate between good dreams and nightmares. Trained Drowzee can show people their dreams upon awakening. 
",Hypnosis Pokémon,psychic,3′03″,71.4
hypno,"Hypno only prey on dreams, so captives generally return physically unharmed. Their swinging pendulums cause drowsiness even in onlookers that have just awoken. The longer one stares at the mesmerizing oscillations, the longer the effect last. Hypno are reliant on their pendulums for their powers, and having it damaged or destroyed can cause severe shock and depression for them.&#91;2&#93; Trained Hypno are of great use to doctors to help treat insomnia in patients. 
In the Alola region, wild Hypno do not usually attack humans, as the perpetually sleeping Komalas are a much easier target for them.
",Hypnosis Pokémon,psychic,5′03″,166.7
krabby,"Krabby is an omnivore and a scavenger; it rarely hunts for itself. It can also act as a filter feeder by harmonizing bacteria in the sand, but this is rare. It is territorial, and in beaches where there is little food, fights between Krabby are common. Krabby also uses camouflage; it can form mucus sacs around itself if threatened, making it seem larger or making it harder to spot against sea sand. It is usually very small, but it makes up for this with its aggressiveness.
",River Crab Pokémon,water,1′04″,14.3
kingler,"Kingler possess a large pincer that boasts huge amounts of strength equal to 10,000 horsepower of crushing force. However, the pincer is quite heavy and is difficult to wield, leaving Kingler exhausted after being used. Out of battle, these large claw aren't very efficient for most everyday tasks, so they tend to use their smaller ones instead. When signaling to fellow Kingler or competing for dominance, however, they will wave their larger claws wildly in the air (a very tiring action for them).
Gigantamax Kingler is capable of producing bubbles that are high in alkaline content. Anyone who touches these bubbles will be melted down.
",Pincer Pokémon,water,4′03″,132.3
voltorb,"Voltorb have very volatile temperaments that induce their explosions. They are generally found in power plants and other areas with electric fields where it feeds. The species was first discovered in the plant where modern Poké Balls were invented. Notably, Alpha Sapphire 's Pokédex entry for Voltorb contains a conspiracy theory about how it was a Poké Ball exposed to an energy pulse.",Ball Pokémon,electric,1′08″,22.9
electrode,"Electrode is an unpredictable and volatile Pokémon that will explode with little or no stimuli or provocation. It stores much electricity inside its spherical body, and often drifts on winds, full to bursting with stored electricity. It is feared by many due to its explosive and unpredictable nature. 
As shown in the fourth episode of Pokémon Generations, Electrode is capable of levitating.  
These Pokémon convert solar energy into electricity and store it in their abdomens. When angered, they release this energy into currents that arc in the surrounding air, said to be equal in strength to 20 lightning bolts. After a Hisuian Electrode lets loose, the surrounding land is often totally scorched with the air still crackling, a telltale sign of its presence. If their holes are plugged, they become unable to release this energy until it builds up enough to pop the plug free. 
Hisuian Electrode, though not as irritable as their relatives, were still feared in Hisui due to their ability to destroy entire villages at once. According to legend, one settlement grew so tired of these Pokémon that they shipped them far away to a distant region, where they could never return. It is here that these Electrode grew bitter and temperamental, eventually becoming the Voltorb and Electrode common in other parts of the world.  
",Ball Pokémon,electric,3′11″,146.8
exeggcute,"Exeggcute are actually more like seeds despite looking more like eggs. They always must be in groups of 6 to maintain balance; lone Exeggcute will quickly be joined by five others almost immediately. They can communicate with each other telepathically. If one member of a pack is threatened, the others will swarm the attacker to defend it. Some of their shells may crack as they travel. However, they are surprisingly durable Pokémon that can survive with cracked or broken shells with little problem. In fact, as these Pokémon approach evolution, these cracks become more and more common. These groups of a half-dozen each are considered one Pokémon—they all can be caught in one Poké Ball, count as one Pokémon in battle, and so forth, in part due to their “shared” minds. Since they get distressed if they are unable to have six members, it is considered abuse to force Exeggcute in groups of more or less.
",Egg Pokémon,"grass,psychic",1′04″,5.5
exeggutor,"Kantonian Exeggutor live in herds and has been given the reputation as the ""Walking Jungle"" due to them migrating sometimes. Tales have been told that one of Exeggutor's heads would fall off and form an Exeggcute, when this happens it will emit a telepathic call almost immediately to attract five other Exeggcute and become a group. The three heads of an Exeggutor always think independently and rarely bicker with one another. Exeggutor having a stout body is the result of cooler climates. Their three heads each speak their minds all at once. As a result, Exeggutor can be very noisy at times. They use telepathy to plan amongst themselves before acting. They are very friendly, both between their heads and to others, so it is rare for them to ever argue. When they do, however, Exeggutor will become confused, especially if they try to move in different directions at once. Though not aggressive, Exeggutor are capable of defending themselves when attacked with a variety of moves, including techniques such as Egg Bomb and the rare Barrage. Focusing on the same target with all three ends results in a triple-strength attack. They are rarely threatened, though, as their herds give them strength in numbers; few ever want to anger entire “forests.” Exeggutor become quite sluggish when deprived of sunlight, and forests of them will quiet down on cloudy days.
Alolan Exeggutor thrives well in the Alola region. The locals there often take pride in Exeggutor, stating that it was originally meant to look like the taller appearance it bears in Alola. Exeggutors living in Alola have given up their psychic powers in exchange for draconic powers that have been long dormant for many years. The main reason for Exeggutor gaining Dragon-type powers is the strong sunlight from Alola.These heads help them spot opponents sneaking up from behind, though they can also attack as well if necessary. Though most predators stay far away from these giant Pokémon, some have learned to take advantage of their height, zipping around their feet until they loose balance and keel over. They attack foes by swinging around their heads like giant whips, though this action makes them dizzy as well.
",Coconut Pokémon,"grass,psychic",6′07″,264.6
cubone,"Cubone appears to be based on a bipedal dinosaur of some kind combined with a stereotypical caveman.
Cubone, known as the Lonely Pokémon, appears to be a small, brown, dinosaur-like Pokémon that constantly wears its skull like helmet. The skull masks its true face from view, which makes it a puzzlement for many Trainers and researchers. Its cries echo within the skull and it comes out as a pained and sad melody. On the night of a full moon, it cries, for it seems to recognize its mother's face in the moon. Its tears create stains on the skull. Cubone has a plump body with a paler-colored underbelly, with strong, clawed limbs to carry a bone as a weapon around wherever it goes. Cubone has a single, nailed toe on each foot, with two spikes on its back. A small tail is also present for balance, but it can be used for attacking.",Lonely Pokémon,ground,1′04″,14.3
marowak,"Marowak no longer grieve about abandonment; instead, their traumatic pasts become fuel for ruthless combat. They use bones to defeat foes with moves like Bone Club and Bonemerang. Marowak possess homing instincts that lead them back to their mothers’ tribes. They will join these tribes, never learning who their mothers truly were. Their loneliness has hardened them towards all deep social connections. Marowak will often fight one another in these tribes to the death for especially prized bones. The loser's remains will supply tools for future Cubone. The abandonment of young is a coming-of-age for Marowak. Lone Cubone, though traumatized, return home as cold, ruthless fighters who have no qualms whatsoever about brutally beating or killing others. Marowak hardly even communicate with each other, and even more rarely do so with speech. They tap their bones on boulders in specific rhythms to send messages. There are known to be over 50 of these unique rhythms. These Pokémon despise Mandibuzz, who try to steal their prized bones, and will throw their bones at them to knock them out of the sky. In popular folklore where Cubone are believed to be wearing the skulls of their mothers, Marowak are spurred on to defend their bones by their desire to avenge their deceased parent.
Such extreme pressure also favored individuals that worked together (in contrast to the distant relations of mainland Marowak). These Pokémon maintain the tradition of passing down the bones of loved ones; rather than dueling over them, however, Alolan Marowak seem to choose 'heirs' that will have the honor of wielding their bones when they pass. These Pokémon remain close with one another for their whole lives. They hold elaborate mourning rituals involving their flaming bones for their fallen allies; though their bones may be repurposed, Alolan Marowak will create dirt mound 'graves' along the sides of roads, fiercely attacking those who disturb them. It is said that their undying loyalty for one another endures even through death, with their spirits protecting those wielding their bones and granting them 'sixth senses.' Alolan people refer to and fear these Pokémon as 'conjurers of the dead' for this reason. Alolan Marowak strike their bones on the black patches on their heads to ignite them. They spin their bones and perform intricate dances to perform both rituals and attacks. They can release fireballs in this manner; while not individually strong, their determination to land repeated blows can make them formidable foes. It is said that a blaze caused by its ghostly fire cannot be quenched, no matter how much water is poured over it. Their flames are said to scorch both the mind and body equally.
Marowak are usually seen living in caves and grasslands, though some might be living in deserts.
",Bone Keeper Pokémon,ground,3′03″,99.2
hitmonlee,"Hitmonlee and their relatives Hitmonchan and Hitmontop are found in cites, training peacefully alongside humans. They also occasionally head to mountains to train, though they generally return to urban areas at night. After tough training sessions, Hitmonlee will often massage their legs to prevent fatigue. They can often be found in dojos, teaching people how to deliver devastating kicks as well as learning new, unorthodox techniques from them. 
",Kicking Pokémon,fighting,4′11″,109.8
hitmonchan,"Hitmonchan is an extremely resilient Pokémon who won't give up in the face of challenges. Any Hitmonchan may appear to be standing idly when in fact launching volleys of punches faster than bullet trains into thin air as practice. However, these punches do tire them out—after three minutes of intense work, they need to take light rests. Regardless of the setbacks they face, Hitmonchan are determined, having the spirit of champion boxers. Even during these breaks, Hitmonchan will often move around or jog quickly in place.
They are also skilled in sparring with light punches, allowing them to act as a sparring partners to fellow Hitmonchan or to aspiring human boxers (the latter of which who almost always lose, but learn from fights nonetheless). Like Hitmonlee, Hitmonchan can be found training in dojos, but can also sometimes be seen punching away at boulders in mountains. 
",Punching Pokémon,fighting,4′07″,110.7
lickitung,"Their tongues are actually the most receptive part of their bodies, even more sensitive than their hands. When they come across unfamiliar objects, they will lick them, as they associate things by texture and taste. Lickitung do not enjoy sourness, however, and will avoid things that are tart. Though Lickitung often chase down people and Pokémon, they are not aggressive. In addition to using their tongues to feel new things, they also use them to detect food particles on others and lick them off to ""clean"" them, though this always leaves a rather unpleasant odor behind.
",Licking Pokémon,normal,3′11″,144.4
koffing,"Koffing resembles a cloud, naval mine, or smoke bomb. It mostly is a physical representation of air pollution.
Koffing is a Poison Gas Pokémon. Its body is purple and spherical with a skull and crossbones on the lower parts of its body. It has openings that allow gases to escape. A Koffing will spew a harmless gas if its happy, and a poisonous gas if it's angry. Koffing mainly eats rotten kitchen garbage.",Poison Gas Pokémon,poison,2′00″,2.2
weezing,"Weezing is formed from a fusion of toxic gases and two Koffings for many years. Because of the constant mixtures of poison gases within its body, Weezing always emit foul-smelling odors. Just like its pre-evolved form, Weezing is able to hover in the air. Despite smelling horrible, the gases that Weezing creates have been used for perfumes.
Weezing is fond of garbage and other sources of pollution; it is mainly nocturnal, always looking for trash from a human's house.
The gases produced from a Kantonian Weezing is much more potent than the gases from a Galarian Weezing.
",Poison Gas Pokémon,poison,3′11″,20.9
rhyhorn,"While powerful, Rhyhorn are not the smartest Pokémon in the world. They are said to only be able to remember one thing at a time. While that is not true, they are still rather dense Pokémon. They will often charge at something but forget why they began charging in the first place mid-run; they will not stop running until they tire out and collapse from exhaustion, however. Sometimes, destroying things help Rhyhorn remember why they began running. 
Rhyhorn can be very friendly and playful but if approached from behind they may get startled and run as they have a blind spot directly behind them, like horses do. They will gladly allow their trainers to ride on their backs; in some regions, Rhyhorn racing is a popular sport.
",Spikes Pokémon,"ground,rock",3′03″,253.5
rhydon,"This Pokémon's brain developed after it stood up on its hind legs. Its drill horn bores tunnels through solid rock, even diamonds. Records show it as being able to topple buildings with a sweeping blow of its tail. Its hide is so thick and protective that Rhydon can thrive in very hot places, as well as being almost impossible to hurt in battle, at the cost being unable to sense its surroundings.
",Drill Pokémon,"ground,rock",6′03″,264.6
chansey,"Chansey is an extremely brave and kind Pokémon and it always smiles, regardless of its mood. It is known to bring anyone happiness.
",Egg Pokémon,normal,3′07″,76.3
tangela,"A Tangela's vines never stop moving. Though they are genetically closely related to seaweed, they do not require any more water than the average plant. Their vines never stop growing and can regenerate. This allows Tangela to snap off vines painlessly to distract predators and regrow them later as soon as the next day.
Their vines have a distinctive scent and are used as an herb in some parts of Galar. The swaying of their vines can be mysteriously unnerving to onlookers. Their vines are covered in fine hairs that tickle those caught within and also allow Tangela to use their vines as arms; the hairs can “feel” objects when brushed against them and detect ​changes in air pressure and humidity.
Their vines latch onto anything that moves. If Tangela grab foes that turn out to be too strong, their vines will break off and allow them to escape.
",Vine Pokémon,grass,3′03″,77.2
kangaskhan,"Kangaskhan is a caring and devoted Pokémon, with strong maternal instincts. A mother will carry her young in the marsupial-like pouch on her stomach, and rarely lets her out of her sight. When she feels safe, the parent will let the baby out to play. Young Kangaskhan are obedient and loyal to their parents and do their best to help fight off enemies during battle.
",Parent Pokémon,normal,7′03″,176.4
horsea,"If they sense trouble, they spit ink towards the instigator. If the enemy is too strong, it quickly swims to safety. When they are a safe location, they can be seen playfully tangling their tails together. Horsea do like swimming around, making them adept in using their fin. If the ocean current turns fast, however, Horsea will anchor itself by wrapping its tail around rocks or coral to prevent being washed away. It also has the ability to spit ink to escape any potential danger, because of this it can learn moves such as Smokescreen. They have been known to make their nests in the shades of corals.
",Dragon Pokémon,water,1′04″,17.6
seadra,"Seadra have a violent temper. They hook their tail onto rocks or coral branches to rest, preventing them from being swept away. Seadra can also use their fins and tails to swim backwards. When hunting, Seadra create whirlpools to trap and disorient prey. Whirlpools from larger Seadra can be powerful enough to capsize fishing boats. They swallow ​food whole using their long snouts, and can even suck in prey larger than these openings with great force. 
After the female Seadra gives birth, the male Seadra will take care of the young and its nest. It will attack those who venture too near to its children.
",Dragon Pokémon,water,3′11″,55.1
goldeen,"Goldeen can have the ability Swift Swim or the ability Water Veil. Swift Swim increases Goldeen's Speed when it is raining. Water Veil prevents Goldeen from getting Burned. Despite its looks, its horn is extremely powerful.

",Goldfish Pokémon,water,2′00″,33.1
seaking,Seaking can have the ability Swift Swim or the ability Water Veil. Swift Swim increases Seaking's Speed when it is raining. Water Veil causes Seaking to be immune to burns. Its horn can function like a drill and it is known to be very territorial.,Goldfish Pokémon,water,4′03″,86
staryu,"Staryu are mysterious Pokémon that lie on the seabed during the day and float up to the surface at night. For this reason, Pokémon like Lumineon often nibble on them as a reliable source of food. 
Even a Staryu cut into pieces can regenerate as long as its core is intact. Their centers are vital to their survival and are irreplaceable. These cores glow brightly at night when Staryu are active, whereas the cores of sick Staryu glow faintly and flicker. 
Staryu mostly live by the seashore in large numbers. Groups of Staryu, referred to as ""constellations"", rise to the surface each night, cores aglow. They seem to float aimlessly (though they are actually filter-feeding), gazing at the stars. Their cores mysteriously pulse at the same rate as a human's resting heartbeat. From above, oceans with large numbers of Staryu seem to mimic and align with the twinkling skies above. However, Staryu only become active if the stars are visible; if clouds obscure the night sky, they will stay on the sea floor and their cores will not light up.
",Star Shape Pokémon,water,2′07″,76.1
starmie,"They can flash their gems in a single color, alternating between different shades as if sending coded messages. Starmie swim by spinning themselves like propellers through the water, filter-feeding as they go. 
",Mysterious Pokémon,"water,psychic",3′07″,176.4
mr.mime,"Mr. Mime are very prideful of their pantomime acts, and will heavily slap anyone that interrupts them while miming. They can often be seen performing in the streets of cities and towns, where they mime in exchange for food.",Barrier Pokémon,"psychic,fairy",4′03″,120.2
scyther,"Scyther is an adept hunter that tears at its prey with its scythes. Thanks to its green coloration, it can camouflage itself well in the grasslands and forests where it lives. Humans rarely encounter wild Scyther in these areas, however. Said to be like a ninja, Scyther can move so quickly that it cannot be followed, increasing the effectiveness of its scythes. It maintains the sharpness of its blades through battle as well as by cutting through hard objects, such as trees; it can cut down a massive tree with just a single slice.
Wild Scyther form swarms with a single leader chosen through combat. When a challenger successfully defeats a current leader and replaced it, the defeated leader is exiled from the swarm. It has also been shown that Scyther becomes more aggressive than those of the swarm. Groves of cleanly-cut stumps are a sign of Scyther pack territory.
",Mantis Pokémon,"bug,flying",4′11″,123.5
jynx,"Jynx are found in secluded, snowy areas. Though rare, they seem to become more common during strong blizzards. As Jynx walk, they sway their hips alluringly. Depending on their emotions, they may move in slightly different manners. Their strange movements compel those who see them to move with them, dancing in unison. Those moving may not even realize they are swaying their hips until someone else (who is probably also dancing) points it out to them. Jynx use their dancing to talk to one another. 
However, they also have a form of oral speech, which sounds ​uncannily similar to a foreign human language. For this reason, some musicians have written songs specifically for Jynx to sing. Despite their curious behavior, Jynx are kind Pokémon. As they walk and sway, people and Pokémon alike subconsciously follow them. During blizzards, they will often lead these hypnotized beings to safety away from the cold. Then, they disappear almost as quickly as they appeared. When Jynx walk, they mysteriously leave no footprints in the snow. In rural, barren regions of Galar, Jynx are known in folklore as Queens of Ice and are worshiped for their beautiful singing and dancing.
",Human Shape Pokémon,"ice,psychic",4′07″,89.5
electabuzz,"Electabuzz often gather in groups to wait for oncoming storms, and tend to race for lightning bolts to eat. They cause power outages when they feed off power plants, and such facilities often employ Ground-type Pokémon as a preventive measure due to Electabuzz's weakness to the type. Many areas actually employ Electabuzz as natural lightning rods.
",Electric Pokémon,electric,3′07″,66.1
magmar,"Magmar is the evolved form of Magby. A Magby can evolve into a Magmar starting at level 30. Magmar can evolve into a Magmortar, but only by trading while holding the item Magmarizer, Alternatively in Pokémon Legends: Arceus, Magmar evolves when exposed to a Magmarizer.",Spitfire Pokémon,fire,4′03″,98.1
pinsir,"Pinsir are known for their strong pincers, using them aggressively in battle to either split foes into two or toss foes that are too tough to be crushed. Despite this nature, they grow weak in cold environments and will bury into dirt, sand, or leaves with their two pincers sticking up from the ground. They are also known to enjoy tree sap and Honey like many other Bug-type Pokémon. Pinsir lives deep in the temperate forests and jungles, where it burrows underground or hides in the treetops on nights cold enough to render it immobile. They tend to group together as a result.
In the Alola region, they are known to get along well with Heracross while they have a strong rivalry with Vikavolt.
The size of their pincers are used to judge attractiveness, the bigger the more attractive.
When they mega evolve, Pinsir appears to be in a constant state of excitement and rarely touches the ground due to its newfound flight.
",Stag Beetle Pokémon,bug,4′11″,121.3
tauros,"Tauros is a violent, rowdy Pokémon that whips itself into a frenzy using its three tails. It serves as a warning to others that Tauros is about to charge with astonishing speed. Once it starts charging, it is unable to stop or change course until it hits something. It will lock horns with others of its kind, and the herd's protector takes pride in its battle-scarred horns. While still ferocious, Tauros are calmer in Alola than elsewhere, likely due to the region's climate. The practice of riding Tauros is believed to have started in Alola. However, Tauros in Galar are more volatile and don't want to be ridden.
In Paldea, Tauros are bred into three different subspecies (Combat, Blaze, and Aqua), each with specific traits. 
Combat Breed Tauros are fierce and possess a muscular build. They are experts of close-ranged combat and will use their horns to strike at the enemy's weak spot. 
Blaze Breed Tauros are well named from their ability to emit superheated air from their nostrils. They are also able to increase the temperature of their horns to a blistering 1,800 degrees Fahrenheit. The horns leave the opponent with burn marks and wounds. The tails of a Blaze Breed Tauros are unique in that they are intertwined rather than separated. 
Aqua Breed Tauros has more body fat, which allows them to easily float on the water's surface. Their horns are capable of expelling high pressurized water jets that not only aid in propulsion but also have enough strength to pierce through enemy defenses. 
",Wild Bull Pokémon,normal,4′07″,194.9
magikarp,"Magikarp are often regarded as the “most useless Pokémon.” The most they normally can do is use Splash, which does absolutely nothing. Although they can reach heights of 7 feet using this move, they are unable to change direction in the air, so they land in the exact same place. Legend has it that older Magikarp can splash over mountains, though this has never been seen. In fact, splashing Magikarp actually make easy prey for Flying-type Pokémon like Pidgeotto, who can snatch them up as they bounce. They are also weak swimmers, unable to swim through even weak currents. As a result, many of them congregate in small ponds or lakes, unable swim through river currents. Magikarp are very hardy, however, with strong survival instincts and immune systems. They are able to tolerate waters of nearly any salinity, depth, and pollution level.
",Fish Pokémon,water,2′11″,22
gyarados,"Contrary to their pre-evolution Magikarp, Gyarados are known to be extremely violent, often flying into an Outrage and destroying anything they see. This includes small towns that stand on their wake. This is likely due to them having undergone structural brain transformation that stimulated their brain cells, leading to them becoming ferocious.
Mega Gyarados are monstrously destructive creatures due to the stress imposed on their brains by Mega Evolution, leaving them of nearly nothing but the dangerous instinct to raze everything into cinders.
Despite their violent disposition, Gyarados can be obedient to trainers that they love and trust and can be very misunderstood; they never intentionally destroy things and instead they just have anger problems. When they aren't angry, they are actually quite timid and gentle for a short-tempered sea serpent. 
Gyarados in the Alola region will flee upon seeing a school of Wishiwashi.
",Atrocious Pokémon,"water,flying",21′04″,518.1
lapras,"Lapras is a gentle, helpful Pokémon that enjoys ferrying people across bodies of water. In the past, its docility made it an easy target for hunters, and it was driven to near-extinction. Recent protection efforts have seen Lapras become overabundant instead, which is now affecting the fish Pokémon numbers in some areas. An intelligent Pokémon, it is able to understand human speech. Lapras have been known to travel in large pods across the seas, spanning both polar and tropical areas. To keep in touch with other of its kind, it sings enchanting melodies. In the anime it was shown that Lapras is able to develop psychic abilities such as telepathy.
",Transport Pokémon,"water,ice",8′02″,485
ditto,"Ditto will transform into anything it sees, even inanimate objects. When it sees an enemy, it will change its DNA code to match theirs. It avoids being attacked while sleeping by changing its appearance to look like a rock. While trying to transform into something from memory, it will get details wrong. They will try to befriend other Pokémon by transforming into one of their kind. However, they are hostile to each other.
",Transform Pokémon,normal,1′00″,8.8
eevee,"Eevee are Pokémon with unstable genetic codes. This gives them the ability to evolve into eight different evolutions triggered by the environment, time of day, friendship levels, or the usage of the evolutionary stones Water Stone, Thunderstone, Fire Stone, Leaf Stone (Generation VIII), and Ice Stone (Generation VIII).

Partner Eevee is also capable to learning special moves: Bouncy Bubble, Buzzy Buzz, Sizzly Slide, Glitzy Glow, Baddy Bad, Sappy Seed, Freezy Frost, Sparkly Swirl, and the Partner Power, Veevee Volley.",Evolution Pokémon,normal,1′00″,14.3
vaporeon,"Vaporeon prefer clean freshwater lakes. They have developed gills to become better suited to an aquatic lifestyle, and their cell composition's similarity to water allows them to melt into the water. This ability enables Vaporeon to remain camouflaged while swimming and ambush their prey: fish Pokémon. 
",Bubble Jet Pokémon,water,3′03″,63.9
jolteon,"Jolteon are very sensitive and temperamental, which causes them to constantly charge as they quickly change moods. This means novice trainers will find it difficult to tame them, until said trainers have earned their trust. 
",Lightning Pokémon,electric,2′07″,54
flareon,"Flareon is a shy Pokémon, as seen in Eevee and Friends. It is very emotionally sensible and when it is nervous, it releases large amounts of heat through its fur. Flareon can be very nervous when meeting new people. It has a sweet and warm-hearted personality. Usually Flareon doesn't like being the center of attention.
Flareon is also an altruistic and loyal being, as it would give its life just for its trainer. Although Flareon has a warm-hearted and submissive personality, if it gets angry for an important reason, it can be real hot-head and explosive.
",Flame Pokémon,fire,2′11″,55.1
porygon,"Porygon is the first artificial Pokémon, created by the scientists at the Silph Co. company.

",Virtual Pokémon,normal,2′07″,80.5
